common_name;scientific_name;category;description;habitat;population_estimate;endangerment_status;size_from;size_to;colors;image_link;endangerment_order;lexicon_link;sexual_dimorphism;presence_time;taxonomic_order
Feldspitzmaus;Sorex araneus;Säugetier;Die Feldspitzmaus ist ein kleines, flinkes Insektivor mit spitzem Kopf und dichtem braunem Fell. Sie lebt in Wäldern, Gärten und Feldern und ist in Deutschland weit verbreitet und häufig. Ihre Nahrung besteht hauptsächlich aus Insekten und anderen Kleintieren.;Wälder, Gärten, Felder;Nicht bekannt;Nicht gefährdet;6;9;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Feldspitzmaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Feldspitzmaus;Nein;Ganzjährig;Eulipotyphla
Hausspitzmaus;Sorex minutus;Säugetier;Die Hausspitzmaus ist ein kleiner, agiler Insektivor mit graubraunem Fell und spitzem Kopf. Sie lebt in Gärten, Wäldern und feuchten Gebieten und ist in Deutschland weit verbreitet und häufig. Ihre Nahrung besteht hauptsächlich aus Insekten, Spinnen und anderen Kleintieren.;Gärten, Wälder, feuchte Gebiete;Nicht bekannt;Nicht gefährdet;5;8;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Hausspitzmaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Hausspitzmaus;Nein;Ganzjährig;Eulipotyphla
Gartenspitzmaus;Crocidura leucodon;Säugetier;Die Gartenspitzmaus ist ein kleiner Insektivor mit hellgrauem bis braunem Fell und spitzem Kopf. Sie lebt bevorzugt in Gärten, Parks und Waldrändern und ist in Deutschland weit verbreitet. Ihre Nahrung besteht hauptsächlich aus Insekten und anderen kleinen Wirbellosen.;Gärten, Parks, Waldränder;Nicht bekannt;Nicht gefährdet;5;7;gray,brown;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Gartenspitzmaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Gartenspitzmaus;Nein;Ganzjährig;Eulipotyphla
Sumpfspitzmaus;Neomys fodiens;Säugetier;Die Sumpfspitzmaus ist eine kleine semi-aquatische Spitzmaus mit dichtem, wasserabweisendem Fell. Sie lebt an Gewässerrändern, Teichen und Feuchtgebieten und ist in Deutschland weit verbreitet. Ihre Nahrung besteht hauptsächlich aus Insekten, kleinen Fischen und Amphibien.;Gewässerränder, Teiche, Feuchtgebiete;Nicht bekannt;Nicht gefährdet;7;10;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Sumpfspitzmaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Sumpfspitzmaus;Nein;Ganzjährig;Eulipotyphla
Wasserspitzmaus;Neomys anomalus;Säugetier;Die Wasserspitzmaus ist eine semi-aquatische Spitzmaus mit dichtem, wasserabweisendem Fell und gut entwickelten Schwimmhäuten. Sie lebt an sauberen Gewässern wie Bächen, Flüssen und Teichen und ist in Deutschland verbreitet, aber selten. Ihre Nahrung besteht hauptsächlich aus Wasserinsekten, kleinen Fischen und Amphibien.;Saubere Gewässer, Bäche, Flüsse, Teiche;Nicht bekannt;Vorwarnliste;7;10;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Wasserspitzmaus;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Wasserspitzmaus;Nein;Ganzjährig;Eulipotyphla
Alpenspitzmaus;Sorex alpinus;Säugetier;Die Alpenspitzmaus ist ein kleiner Insektivor mit dichtem, graubraunem Fell, der in alpinen Regionen lebt. Sie bewohnt felsige Gebiete und alpine Wiesen in den Alpen und ist in Deutschland sehr selten anzutreffen. Ihre Nahrung besteht hauptsächlich aus Insekten und anderen Kleintieren.;Alpine Wiesen, felsige Gebiete;Nicht bekannt;Extrem selten;7;9;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Alpenspitzmaus;2;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Alpenspitzmaus;Nein;April bis Oktober;Eulipotyphla
Waldspitzmaus;Sorex granarius;Säugetier;Die Waldspitzmaus ist ein kleiner Insektivor mit braunem Fell und spitzem Kopf. Sie lebt in feuchten Wäldern und Waldrändern und ist in Deutschland eher selten. Ihre Nahrung besteht hauptsächlich aus Insekten und anderen Kleintieren.;Feuchte Wälder, Waldränder;Nicht bekannt;Vorwarnliste;6;9;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Waldspitzmaus;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Waldspitzmaus;Nein;Ganzjährig;Eulipotyphla
Schabrackenspitzmaus;Sorex coronatus;Säugetier;Die Schabrackenspitzmaus ist ein kleiner Insektivor mit graubraunem Fell und heller Kehle. Sie lebt in feuchten Wäldern und Gebüschen und ist in Deutschland verbreitet, aber nicht häufig. Ihre Nahrung besteht hauptsächlich aus Insekten und kleinen Wirbellosen.;Feuchte Wälder, Gebüsche;Nicht bekannt;Vorwarnliste;6;8;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Schabrackenspitzmaus;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Schabrackenspitzmaus;Nein;Ganzjährig;Eulipotyphla
Zwergspitzmaus;Sorex minutus;Säugetier;Die Zwergspitzmaus ist ein kleiner, wendiger Insektivor mit graubraunem Fell und spitzem Kopf. Sie lebt in Wäldern, Gärten und feuchten Gebieten und ist in Deutschland weit verbreitet. Ihre Nahrung besteht hauptsächlich aus Insekten und kleinen Wirbellosen.;Wälder, Gärten, feuchte Gebiete;Nicht bekannt;Nicht gefährdet;5;8;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Zwergspitzmaus;1;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Zwergspitzmaus;Nein;Ganzjährig;Eulipotyphla
Große Hufeisennase;Rhinolophus ferrumequinum;Säugetier;Die Große Hufeisennase ist eine Fledermausart mit auffälliger, hufeisenförmiger Nasenstruktur. Sie lebt in Höhlen, Gebäuden und Wäldern und jagt hauptsächlich nachts Insekten mit Echolokation. In Deutschland ist sie selten und streng geschützt.;Höhlen, Gebäude, Wälder;Nicht bekannt;Gefährdet;4;5;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Gro_e_Hufeisennase;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Gro_e_Hufeisennase;Nein;April bis Oktober;Chiroptera
Kleine Hufeisennase;Rhinolophus hipposideros;Säugetier;Die Kleine Hufeisennase ist eine kleine Fledermaus mit hufeisenförmiger Nasenstruktur. Sie bewohnt Höhlen, alte Gebäude und Wälder und jagt nachtaktive Insekten mit Echolokation. In Deutschland gilt sie als selten und steht unter Schutz.;Höhlen, alte Gebäude, Wälder;Nicht bekannt;Gefährdet;3;4;brown,gray;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/main/Säugetier/Kleine_Hufeisennase;4;https://umvtbsrjbvivfkcmvtxk.supabase.co/storage/v1/object/public/animalImages/lexikon/Säugetier/Kleine_Hufeisennase;Nein;April bis Oktober;Chiroptera
